X,Y,Z
32.975000,0.000000,0.000000
32.939525,0.493037,0.000000
32.849548,0.970185,0.000000
32.711055,1.416849,0.000000
32.533535,1.820519,0.000000
32.329259,2.171649,0.000000
32.112282,2.464369,0.000000
31.897128,2.696993,0.000000
31.697047,2.872324,0.000000
31.521433,2.997840,0.000000
31.371125,3.086153,0.000000
31.227115,3.157579,0.000000
31.013729,3.256463,0.000000
30.450921,3.595031,0.000000
29.434228,5.524869,0.000000
29.975789,7.225224,0.000000
30.305926,7.596355,0.000000
30.450477,7.740033,0.000000
30.558925,7.856947,0.000000
30.672313,7.999603,0.000000
30.796511,8.189345,0.000000
30.924450,8.435699,0.000000
31.044014,8.741073,0.000000
31.141703,9.102442,0.000000
31.204751,9.512329,0.000000
31.222542,9.959687,0.000000
31.187577,10.430846,0.000000
31.096097,10.910537,0.000000
30.945347,11.381860,0.000000
30.732319,11.826630,0.000000
30.475631,12.234965,0.000000
30.186554,12.595848,0.000000
29.878738,12.901566,0.000000
29.567183,13.148241,0.000000
29.267011,13.336094,0.000000
28.992003,13.469400,0.000000
28.752735,13.556093,0.000000
28.553795,13.606961,0.000000
28.388321,13.634362,0.000000
28.223200,13.650922,0.000000
27.943344,13.676577,0.000000
27.088923,13.905596,0.000000
25.604863,15.843399,0.000000
25.751504,17.201525,0.000000
25.904467,17.555014,0.000000
25.981632,17.720883,0.000000
26.041975,17.870370,0.000000
26.098977,18.052808,0.000000
26.148231,18.285638,0.000000
26.178962,18.573120,0.000000
26.178895,18.911940,0.000000
26.136759,19.293626,0.000000
26.043774,19.706088,0.000000
25.894565,20.134894,0.000000
25.687664,20.564482,0.000000
25.425676,20.979328,0.000000
25.110185,21.360848,0.000000
24.750299,21.695628,0.000000
24.364927,21.979452,0.000000
23.968773,22.206675,0.000000
23.577392,22.375632,0.000000
23.206031,22.488712,0.000000
22.868352,22.552111,0.000000
22.575039,22.575193,0.000000
22.332079,22.569356,0.000000
22.138110,22.546097,0.000000
21.978651,22.513447,0.000000
21.808201,22.468476,0.000000
21.471277,22.384825,0.000000
20.273127,22.399081,0.000000
18.447291,24.093403,0.000000
18.318709,25.097920,0.000000
18.342624,25.404469,0.000000
18.356003,25.573763,0.000000
18.358998,25.739031,0.000000
18.345639,25.939415,0.000000
18.305167,26.185491,0.000000
18.226087,26.475466,0.000000
18.098501,26.800803,0.000000
17.915463,27.148964,0.000000
17.673734,27.505230,0.000000
17.374119,27.854154,0.000000
17.021453,28.180838,0.000000
16.624285,28.472045,0.000000
16.189532,28.708683,0.000000
15.734020,28.887684,0.000000
15.275520,29.009668,0.000000
14.829753,29.075277,0.000000
14.411626,29.089139,0.000000
14.034115,29.059469,0.000000
13.707165,28.997314,0.000000
13.436578,28.915365,0.000000
13.222720,28.826131,0.000000
13.058398,28.738823,0.000000
12.923491,28.652963,0.000000
12.765246,28.541737,0.000000
12.392472,28.303992,0.000000
10.830842,27.981606,0.000000
8.890017,29.251531,0.000000
8.602239,29.942432,0.000000
8.536708,30.187295,0.000000
8.491712,30.343455,0.000000
8.433236,30.504378,0.000000
8.343969,30.695704,0.000000
8.210993,30.920169,0.000000
8.024940,31.170483,0.000000
7.780340,31.434409,0.000000
7.475907,31.697467,0.000000
7.114569,31.944756,0.000000
6.703222,32.162367,0.000000
6.252230,32.338517,0.000000
5.774697,32.464438,0.000000
5.283495,32.522207,0.000000
4.796646,32.522010,0.000000
4.329898,32.468228,0.000000
3.897412,32.367670,0.000000
3.511004,32.230473,0.000000
3.179261,32.069265,0.000000
2.906800,31.898006,0.000000
2.693650,31.730372,0.000000
2.534643,31.577364,0.000000
2.418266,31.443074,0.000000
2.322769,31.315002,0.000000
2.197338,31.134599,0.000000
1.827796,30.689493,0.000000
-0.037006,29.925269,0.000000
-1.845755,30.707528,0.000000
-2.201753,31.140867,0.000000
-2.325193,31.318431,0.000000
-2.420799,31.446248,0.000000
-2.538035,31.580956,0.000000
-2.698286,31.734420,0.000000
-2.912879,31.902297,0.000000
-3.186843,32.073477,0.000000
-3.520026,32.234252,0.000000
-3.907705,32.370679,0.000000
-4.341204,32.470178,0.000000
-4.808634,32.522689,0.000000
-5.295792,32.521491,0.000000
-5.786841,32.461951,0.000000
-6.263887,32.334696,0.000000
-6.714039,32.157388,0.000000
-7.124249,31.938881,0.000000
-7.484233,31.691022,0.000000
-7.787188,31.427759,0.000000
-8.030290,31.164001,0.000000
-8.214933,30.914199,0.000000
-8.346687,30.690502,0.000000
-8.435012,30.500027,0.000000
-8.492915,30.339679,0.000000
-8.537871,30.182912,0.000000
-8.604891,29.933202,0.000000
-8.907837,29.221327,0.000000
-10.898494,27.975150,0.000000
-12.408801,28.313051,0.000000
-12.770401,28.545384,0.000000
-12.926807,28.655215,0.000000
-13.062024,28.740953,0.000000
-13.227414,28.828365,0.000000
-13.442639,28.917551,0.000000
-13.714666,28.999163,0.000000
-14.042971,29.060657,0.000000
-14.421633,29.089364,0.000000
