X,Y,Z
33.000000,0.000000,0.000000
32.971463,0.493515,0.000000
32.887895,0.971317,0.000000
32.755282,1.418765,0.000000
32.583112,1.823294,0.000000
32.383659,2.175303,0.000000
32.170980,2.468874,0.000000
31.959607,2.702276,0.000000
31.762792,2.878282,0.000000
31.589931,3.004354,0.000000
31.441865,3.093113,0.000000
31.299584,3.164907,0.000000
31.087400,3.264198,0.000000
30.525201,3.603801,0.000000
29.507938,5.538705,0.000000
30.048389,7.242723,0.000000
30.377553,7.614309,0.000000
30.520731,7.757891,0.000000
30.627316,7.874531,0.000000
30.738329,8.016820,0.000000
30.859631,8.206130,0.000000
30.984153,8.451985,0.000000
31.099783,8.756776,0.000000
31.193027,9.117444,0.000000
31.251132,9.526467,0.000000
31.263495,9.972750,0.000000
31.222632,10.442570,0.000000
31.124806,10.920610,0.000000
30.970319,11.391045,0.000000
30.763520,11.838637,0.000000
30.512508,12.249770,0.000000
30.228569,12.613380,0.000000
29.925372,12.921702,0.000000
29.617937,13.170810,0.000000
29.321408,13.360881,0.000000
29.049584,13.496152,0.000000
28.813054,13.584532,0.000000
28.616412,13.636801,0.000000
28.452793,13.665327,0.000000
28.289062,13.682778,0.000000
28.010065,13.709233,0.000000
27.155544,13.939795,0.000000
25.668615,15.882847,0.000000
25.813484,17.242927,0.000000
25.965381,17.596294,0.000000
26.041206,17.761516,0.000000
26.099794,17.910046,0.000000
26.154585,18.091272,0.000000
26.201160,18.322652,0.000000
26.228747,18.608442,0.000000
26.225082,18.945306,0.000000
26.178914,19.324744,0.000000
26.081490,19.734625,0.000000
25.927465,20.160476,0.000000
25.715407,20.586692,0.000000
25.447954,20.997710,0.000000
25.131655,21.379113,0.000000
24.776540,21.718630,0.000000
24.395434,22.006972,0.000000
24.003071,22.238452,0.000000
23.615045,22.411365,0.000000
23.246636,22.528061,0.000000
22.911542,22.594703,0.000000
22.620475,22.620629,0.000000
22.379439,22.617219,0.000000
22.187080,22.595970,0.000000
22.028903,22.564922,0.000000
21.859364,22.521188,0.000000
21.522823,22.438564,0.000000
20.323422,22.454650,0.000000
18.492836,24.152888,0.000000
18.362552,25.157988,0.000000
18.385531,25.463896,0.000000
18.397817,25.632019,0.000000
18.399417,25.795696,0.000000
18.384314,25.994098,0.000000
18.341741,26.237810,0.000000
18.260207,26.525030,0.000000
18.129837,26.847206,0.000000
17.943715,27.191776,0.000000
17.698642,27.543994,0.000000
17.395469,27.888382,0.000000
17.039076,28.210014,0.000000
16.638057,28.495632,0.000000
16.204141,28.734590,0.000000
15.751399,28.919592,0.000000
15.295278,29.047191,0.000000
14.851544,29.118002,0.000000
14.435153,29.136627,0.000000
14.059127,29.111260,0.000000
13.733453,29.052927,0.000000
13.463967,28.974306,0.000000
13.251054,28.887899,0.000000
13.087521,28.802916,0.000000
12.953227,28.718891,0.000000
12.795348,28.609043,0.000000
12.422400,28.372347,0.000000
10.857911,28.051538,0.000000
8.911779,29.323137,0.000000
8.622719,30.013720,0.000000
8.556569,30.257526,0.000000
8.510922,30.412099,0.000000
8.451637,30.570939,0.000000
8.361364,30.759699,0.000000
8.227177,30.981113,0.000000
8.039719,31.227888,0.000000
7.793550,31.487780,0.000000
7.487423,31.746293,0.000000
7.124315,31.988515,0.000000
6.711175,32.200525,0.000000
6.258419,32.370532,0.000000
5.779201,32.489758,0.000000
5.288510,32.553073,0.000000
4.802153,32.559352,0.000000
4.335675,32.511546,0.000000
3.903286,32.416457,0.000000
3.516858,32.284214,0.000000
3.185029,32.127440,0.000000
2.912458,31.960091,0.000000
2.699208,31.795842,0.000000
2.540128,31.645695,0.000000
2.423701,31.513743,0.000000
2.328146,31.387489,0.000000
2.202546,31.208391,0.000000
1.832240,30.764108,0.000000
-0.037098,30.000269,0.000000
-1.850239,30.782127,0.000000
-2.206969,31.214632,0.000000
-2.330572,31.390878,0.000000
-2.426235,31.516865,0.000000
-2.543521,31.649222,0.000000
-2.703846,31.799813,0.000000
-2.918539,31.964290,0.000000
-3.192613,32.131547,0.000000
-3.525882,32.287875,0.000000
-3.913579,32.419335,0.000000
-4.346976,32.513353,0.000000
-4.814133,32.559875,0.000000
-5.300791,32.552189,0.000000
-5.791386,32.487445,0.000000
-6.270120,32.366871,0.000000
-6.722036,32.195693,0.000000
-7.134039,31.982773,0.000000
-7.495792,31.739967,0.000000
-7.800438,31.481237,0.000000
-8.045107,31.221502,0.000000
-8.231150,30.975225,0.000000
-8.364110,30.754566,0.000000
-8.453436,30.566646,0.000000
-8.512144,30.408369,0.000000
-8.557747,30.253176,0.000000
-8.625389,30.004509,0.000000
-8.929663,29.292923,0.000000
-10.925714,28.045020,0.000000
-12.438747,28.381380,0.000000
-12.800498,28.612661,0.000000
-12.956531,28.721103,0.000000
-13.091130,28.804994,0.000000
-13.255725,28.890068,0.000000
-13.470003,28.976416,0.000000
-13.740925,29.054687,0.000000
-14.067948,29.112347,0.000000
-14.445120,29.136739,0.000000
-14.862364,29.116894,0.000000
-15.306595,29.044704,0.000000
-15.762824,28.915661,0.000000
-16.215281,28.729250,0.000000
-16.648538,28.489022,0.000000
-17.048572,28.202362,0.000000
-17.403725,27.879990,0.000000
-17.705489,27.535219,0.000000
-17.949081,27.183005,0.000000
-18.133754,26.838820,0.000000
-18.262805,26.517378,0.000000
-18.343234,26.231162,0.000000
-18.384978,25.988598,0.000000
-18.399541,25.791264,0.000000
-18.397632,25.628136,0.000000
-18.385082,25.458877,0.000000
-18.362029,25.145628,0.000000
-18.508198,24.107429,0.000000
-20.376451,22.442233,0.000000
-21.536509,22.441363,0.000000
-21.864532,22.522589,0.000000
-22.032697,22.565803,0.000000
-22.191373,22.596640,0.000000
-22.384847,22.617567,0.000000
-22.627154,22.620388,0.000000
-22.919419,22.593578,0.000000
-23.255492,22.525787,0.000000
-23.624568,22.407745,0.000000
-24.012893,22.233380,0.000000
-24.405163,22.000441,0.000000
-24.785793,21.710734,0.000000
-25.140084,21.370042,0.000000
-25.455270,20.987739,0.000000
-25.721403,20.576159,0.000000
-25.932025,20.149760,0.000000
-26.084601,19.724120,0.000000
-26.180663,19.314831,0.000000
-26.225649,18.936322,0.000000
-26.228388,18.600648,0.000000
-26.200177,18.316203,0.000000
-26.153278,18.086168,0.000000
-26.098380,17.906048,0.000000
-26.039640,17.757913,0.000000
-25.962901,17.591014,0.000000
-25.807825,17.227566,0.000000
-25.679106,15.821240,0.000000
-27.192540,13.923428,0.000000
-28.020695,13.707981,0.000000
-28.293760,13.682367,0.000000
-28.456658,13.664802,0.000000
-28.620863,13.635836,0.000000
-28.818483,13.582812,0.000000
-29.055984,13.493381,0.000000
-29.328573,13.356823,0.000000
-29.625551,13.165311,0.000000
-29.933067,12.914707,0.000000
-30.235963,12.604938,0.000000
-30.519237,12.240031,0.000000
-30.769270,11.827839,0.000000
-30.974845,11.379501,0.000000
-31.127952,10.908686,0.000000
-31.224341,10.430659,0.000000
-31.263810,9.961245,0.000000
-31.250199,9.515735,0.000000
-31.191075,9.107799,0.000000
-31.097109,8.748453,0.000000
-30.981093,8.445118,0.000000
-30.856516,8.200731,0.000000
-30.735416,8.012748,0.000000
-30.624667,7.871429,0.000000
-30.517899,7.754972,0.000000
-30.372621,7.609360,0.000000
-30.035079,7.225025,0.000000
-29.512259,5.465917,0.000000
-30.548578,3.586039,0.000000
-31.094998,3.260552,0.000000
-31.303467,3.163065,0.000000
-31.445351,3.091209,0.000000
-31.593927,3.001722,0.000000
-31.767447,2.874531,0.000000
-31.964764,2.697162,0.000000
-32.176341,2.462270,0.000000
-32.388867,2.167199,0.000000
-32.587804,1.813787,0.000000
-32.759125,1.408055,0.000000
-32.890615,0.959685,0.000000
-32.972864,0.481305,0.000000
-32.999982,-0.012404,0.000000
-32.970027,-0.505716,0.000000
-32.885145,-0.982931,0.000000
-32.751414,-1.429448,0.000000
-32.578402,-1.832767,0.000000
-32.378442,-2.183371,0.000000
-32.165621,-2.475440,0.000000
-31.954459,-2.707355,0.000000
-31.758152,-2.882001,0.000000
-31.585951,-3.006963,0.000000
-31.438385,-3.095005,0.000000
-31.295665,-3.166762,0.000000
-31.079615,-3.267950,0.000000
-30.501176,-3.622472,0.000000
-29.505702,-5.610884,0.000000
-30.061376,-7.259724,0.000000
-30.382383,-7.619147,0.000000
-30.523546,-7.760797,0.000000
-30.629970,-7.877651,0.000000
-30.741248,-8.020922,0.000000
-30.862749,-8.211565,0.000000
-30.987208,-8.458889,0.000000
-31.102443,-8.765135,0.000000
-31.194958,-9.127120,0.000000
-31.252037,-9.537223,0.000000
-31.263145,-9.984270,0.000000
-31.220888,-10.454487,0.000000
