offset,c1,c2,c3,c4,backlash_arcmin,stiff_Nm_per_arcmin,ripple_urad,max_pressure_angle_deg,worst_margin_arcmin,min_curv_radius_mm,n_eng
-0.05921,-0.02550,-0.01891,-0.01834,-0.02907,6.727,19.93,59.56,40.70,0.646,2.604,2
-0.07531,-0.03999,-0.00620,0.01182,-0.01368,6.805,19.76,44.58,41.76,0.622,2.615,2
-0.07680,-0.03696,-0.00445,-0.00998,-0.03157,6.922,19.90,77.35,40.51,0.572,2.576,2
-0.05084,-0.02552,-0.03124,-0.00824,-0.01005,7.058,26.55,26.38,48.21,0.849,2.625,3
-0.04446,-0.01299,-0.00693,-0.01145,-0.01622,7.138,20.40,28.85,39.98,0.950,2.612,2
-0.04833,-0.03277,-0.01628,-0.00319,0.00022,7.171,29.28,35.08,47.81,1.255,2.613,3
-0.08485,-0.03679,0.03604,0.01629,-0.01368,7.341,20.23,66.28,39.68,1.427,2.610,2
-0.04595,-0.00722,-0.02165,0.00045,-0.00166,7.762,24.03,14.31,54.36,0.944,2.637,3
-0.05404,-0.01931,-0.03088,-0.00319,-0.00606,7.986,25.10,19.06,51.79,1.506,2.637,3
-0.06313,-0.03679,-0.00591,0.01865,0.01208,8.025,28.27,23.09,47.88,1.460,2.626,3
-0.05570,-0.02552,-0.03124,-0.00821,-0.01005,8.327,26.76,28.98,47.51,2.150,2.630,3
-0.04702,-0.01913,-0.02549,-0.01069,-0.00351,8.376,32.35,12.69,58.87,0.562,2.627,4
-0.05090,-0.00039,0.00722,0.01639,-0.00725,8.534,19.85,27.01,42.61,2.223,2.627,2
-0.06313,-0.03679,-0.00591,0.00464,-0.00031,8.705,27.80,65.94,44.69,2.781,2.619,3
-0.06585,-0.03209,-0.01755,-0.02431,-0.02395,8.839,20.28,56.05,39.23,2.818,2.617,2
-0.04833,-0.02387,-0.01663,-0.01069,-0.00351,8.904,35.74,42.24,47.81,2.978,2.618,4
-0.04595,-0.00722,0.00356,0.00045,-0.00580,8.922,20.59,49.70,42.05,2.959,2.620,2
-0.06466,-0.00984,0.02347,0.00005,-0.01918,8.931,20.19,69.36,38.91,2.970,2.616,2
-0.08485,-0.03099,-0.03365,0.01852,-0.00161,9.199,17.94,22.79,47.51,2.671,2.355,2
-0.06974,-0.03175,-0.02169,-0.00334,-0.01368,9.564,19.94,26.50,42.25,3.403,2.629,2
-0.07410,-0.02702,0.01100,0.00274,-0.01368,9.719,20.28,55.63,39.26,3.691,2.621,2
-0.04833,-0.01265,-0.01628,-0.00319,0.00022,9.842,33.29,19.59,53.62,2.968,2.632,4
-0.08525,-0.03738,0.01075,0.00382,-0.01545,10.023,20.26,63.25,39.23,3.961,2.622,2
