offset,c1,c2,c3,c4,backlash_arcmin,stiff_Nm_per_arcmin,ripple_urad,max_pressure_angle_deg,worst_margin_arcmin,min_curv_radius_mm,n_eng
-0.04799,-0.02884,-0.01663,-0.01069,-0.00351,7.779,28.68,42.61,52.49,1.704,2.614,3
-0.08963,-0.00039,-0.03725,0.03275,-0.01930,8.618,17.98,75.14,45.61,1.673,1.418,2
-0.08441,-0.01566,-0.03725,0.00490,-0.03384,8.820,18.93,77.15,43.34,2.513,1.739,2
-0.08441,-0.01566,0.00161,0.02178,-0.02508,8.878,19.42,79.31,42.22,2.464,2.084,2
-0.08141,-0.01566,0.00097,0.00490,-0.03384,8.910,19.57,86.59,41.44,2.821,2.237,2
-0.08441,-0.01566,0.00161,0.02178,-0.02188,9.676,19.42,72.01,42.26,3.276,2.173,2
-0.06567,-0.01566,0.00198,-0.00544,-0.01670,10.694,20.25,50.30,39.57,4.545,2.626,2
-0.08441,-0.01566,0.02972,-0.00544,-0.02545,11.366,20.04,103.67,38.67,5.290,2.623,2
-0.08141,-0.02605,0.00198,-0.00544,-0.01670,12.505,20.22,64.77,39.21,6.478,2.632,2
-0.07925,-0.01566,0.00161,-0.01682,-0.02521,13.288,20.13,88.18,38.88,7.299,2.633,2
-0.08441,0.00273,0.02972,-0.00544,-0.02545,15.213,20.04,116.80,38.58,9.258,2.638,2
-0.09825,-0.02507,0.00161,0.02178,-0.00351,16.071,20.01,32.18,41.92,9.857,2.659,2
-0.08441,0.00021,0.00161,0.02178,-0.00351,16.581,19.64,27.39,42.99,10.445,2.666,2
-0.09825,-0.00121,0.01161,-0.01682,-0.03588,18.142,20.15,106.54,38.83,12.041,2.640,2
-0.08441,0.03895,-0.03725,0.00490,-0.02545,18.257,22.53,37.27,69.14,6.163,1.682,3
-0.09825,-0.00937,0.00161,-0.01069,-0.02710,18.521,20.23,88.38,39.17,12.284,2.651,2
-0.09825,-0.00937,0.00161,-0.01682,-0.02521,19.415,20.17,101.37,38.61,13.434,2.657,2
-0.09825,-0.00121,0.00161,0.02178,-0.00351,20.077,19.75,30.50,42.63,13.778,2.679,2
-0.08441,0.02524,0.00198,-0.01069,-0.00351,26.991,29.23,54.01,64.95,17.119,2.687,4
-0.09825,0.03774,0.00161,-0.01069,-0.00351,30.751,35.44,43.56,67.27,20.307,2.713,5
